Timestep	mean reward (100 episodes)	best mean reward	episodes	exploration	learning_rate
0	nan	-inf	0	1.0	0.0001
10000	-19.9	-inf	10	0.991	0.0001
20000	-20.05	-inf	20	0.982	0.0001
30000	-20.225806451612904	-inf	31	0.973	0.0001
40000	-20.214285714285715	-inf	42	0.964	0.0001
50000	-20.20754716981132	-inf	53	0.955	0.0001
60000	-20.234375	-inf	64	0.946	0.0001
70000	-20.226666666666667	-inf	75	0.9369999999999999	0.0001
80000	-20.232558139534884	-inf	86	0.9279999999999999	0.0001
90000	-20.216494845360824	-inf	97	0.919	0.0001
100000	-20.31	-20.21	109	0.91	0.0001
110000	-20.29	-20.21	119	0.901	0.0001
120000	-20.28	-20.21	131	0.892	0.0001
130000	-20.35	-20.21	143	0.883	0.0001
140000	-20.38	-20.21	154	0.874	0.0001
150000	-20.41	-20.21	166	0.865	0.0001
160000	-20.43	-20.21	177	0.856	0.0001
170000	-20.46	-20.21	189	0.847	0.0001
180000	-20.55	-20.21	201	0.838	0.0001
190000	-20.5	-20.21	212	0.829	0.0001
200000	-20.46	-20.21	223	0.82	0.0001
210000	-20.44	-20.21	233	0.8109999999999999	0.0001
220000	-20.37	-20.21	243	0.802	0.0001
230000	-20.31	-20.21	254	0.7929999999999999	0.0001
240000	-20.29	-20.21	264	0.784	0.0001
250000	-20.29	-20.21	276	0.775	0.0001
260000	-20.23	-20.21	287	0.766	0.0001
270000	-20.19	-20.19	298	0.757	0.0001
280000	-20.14	-20.14	309	0.748	0.0001
290000	-20.17	-20.14	320	0.739	0.0001
300000	-20.13	-20.13	330	0.73	0.0001
310000	-20.19	-20.13	340	0.721	0.0001
320000	-20.21	-20.13	350	0.712	0.0001
330000	-20.2	-20.13	361	0.703	0.0001
340000	-20.15	-20.13	371	0.694	0.0001
350000	-20.1	-20.1	380	0.685	0.0001
360000	-20.06	-20.06	390	0.6759999999999999	0.0001
370000	-20.04	-20.02	400	0.667	0.0001
380000	-20.01	-20.01	410	0.6579999999999999	0.0001
390000	-19.94	-19.94	419	0.649	0.0001
400000	-19.88	-19.88	427	0.6399999999999999	0.0001
410000	-19.84	-19.84	435	0.631	0.0001
420000	-19.7	-19.7	443	0.622	0.0001
430000	-19.57	-19.57	451	0.613	0.0001
440000	-19.44	-19.43	460	0.604	0.0001
450000	-19.34	-19.34	468	0.595	0.0001
460000	-19.37	-19.33	477	0.586	0.0001
470000	-19.35	-19.33	485	0.577	0.0001
480000	-19.23	-19.22	493	0.5680000000000001	0.0001
490000	-19.12	-19.12	499	0.5589999999999999	0.0001
500000	-18.99	-18.99	507	0.55	0.0001
510000	-18.96	-18.94	515	0.5409999999999999	0.0001
520000	-18.92	-18.9	523	0.532	0.0001
530000	-18.92	-18.9	532	0.5229999999999999	0.0001
540000	-19.06	-18.9	541	0.514	0.0001
550000	-19.1	-18.9	549	0.5049999999999999	0.0001
560000	-19.25	-18.9	558	0.4959999999999999	0.0001
570000	-19.25	-18.9	565	0.487	0.0001
580000	-19.16	-18.9	572	0.478	0.0001
590000	-19.13	-18.9	581	0.469	0.0001
600000	-19.14	-18.9	589	0.45999999999999996	0.0001
