Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	5917.261163060479	517.7244361542521	5209.553880579914	6590.904644924433	-330.91359819472586	62.2052843109449	-420.200807535598	-236.75169713356357
1	2546.037103338224	305.73584029521186	2089.993709105102	3235.092326430916	-349.40406888932165	34.30352252613469	-399.8580297529396	-293.87545138147823
2	2446.809951516948	308.9024769332444	1888.917321382952	2971.2946704843034	-312.2221358867943	42.57698742003794	-377.49142460960354	-251.31275280214808
3	1013.7137940386768	205.17288104869448	708.0871570879115	1381.5034488060355	-291.9045501417787	55.22700335043353	-362.47290836656606	-189.21175597321127
4	712.240983089494	147.43074527243311	458.66223686183815	929.3799799401722	-314.7548976779259	44.170818316187834	-370.0375735201708	-216.5966622553243
5	384.28556839205953	95.11634607567999	208.0350051435728	540.1542533567633	-319.95573954123194	37.14769518513122	-377.2360678123273	-258.9058652461564
6	314.83538470849294	78.48921930174679	135.58705673351184	419.2963308917554	-326.45285016338676	49.08676297105777	-391.9042260372911	-225.46674178572138
7	292.4861853397575	52.2637044376935	217.0114147419284	418.5251382311916	-352.0148458210439	31.048256251925597	-398.8009683475765	-286.6812536986173
8	265.90846885869547	58.20541212738381	158.04628545870244	363.0318495955693	-352.48888729547934	41.291251799188004	-402.41228884569426	-254.71155772901673
9	181.95897525793276	50.672510577417064	123.98187498320104	276.4046436185608	-319.51333841730576	42.33958817115257	-380.16214618975766	-262.07372518405043
10	209.54987996346068	64.70644908202023	76.82034181513538	312.57809779201455	-310.7108795413799	41.33425513358212	-370.2439935056137	-214.9149136657598
11	141.37507637869163	46.83010495378264	68.30973136538886	201.53972347400625	-284.7381038213588	38.258749623526036	-340.2879177036091	-221.4688492375857
12	199.3169466484124	36.71232813981607	130.92098972343382	267.4768007814225	-352.28503417678934	35.572567974013644	-412.8024798168798	-280.8648267917477
13	197.52844516283517	36.915363475593765	125.42168399007967	272.2765327134118	-337.504310890808	30.481253528007397	-392.0581390780698	-291.98963915520113
14	195.9926738455036	29.839791525768817	164.85359575969304	248.66008023442288	-342.4467726047748	27.748407491156605	-396.6892167838408	-304.4469272430812
